"#";"Name";"Part";"Quantity"
"1";"CL10B104JO8NNNC";"CL10B104JO8NNNC";"2"
"2";"C0603X105K063NT";"C0603X105K063NT";"9"
"3";"SH12500-5Y";"SH12500-5Y";"1"
"4";"RR122-1A22-511";"RR122-1A22-511";"8"
"5";"MCP23008-E/SS";"MCP23008-E/SS";"1"
"6";"RC0603FR-10KR";"RC0603FR-10KR";"2"
